fixedacidity	volatileacidity	citricacid	residualsugar	chlorides	freesulfurdioxide	totalsulfurdioxide	density	pH	sulphates	alcohol	quality	Color
6.4000	0.4200	0.0900	2.3000	0.0540	34	64	0.9972	3.4100	0.6800	10.4000	64	Red
7.5000	0.3800	0.5700	2.3000	0.1060	5	12	0.9960	3.3600	0.5500	11.4000	64	Red
6.6000	0.8550	0.0200	2.4000	0.0620	15	23	0.9963	3.5400	0.6000	11	64	Red
6.4000	0.3600	0.5300	2.2000	0.2300	19	35	0.9934	3.3700	0.9300	12.4000	64	Red
7.5000	0.3100	0.4100	2.4000	0.0650	34	60	0.9949	3.3400	0.8500	11.4000	64	Red
7.2000	0.6600	0.3300	2.5000	0.0680	34	102	0.9941	3.2700	0.7800	12.8000	64	Red
7	0.3300	0.3200	1.2000	0.0530	38	138	0.9906	3.1300	0.2800	11.2000	64	White
6	0.1900	0.2600	12.4000	0.0480	50	147	0.9972	3.3000	0.3600	8.9000	64	White
6.6000	0.3800	0.1500	4.6000	0.0440	25	78	0.9931	3.1100	0.3800	10.2000	64	White
8.6000	0.2300	0.4600	1	0.0540	9	72	0.9941	2.9500	0.4900	9.1000	64	White
7.4000	0.2400	0.4200	14	0.0660	48	198	0.9979	2.8900	0.4200	8.9000	64	White
6.8000	0.2600	0.3400	13.9000	0.0340	39	134	0.9949	3.3300	0.5300	12	64	White
6.1000	0.4000	0.3100	0.9000	0.0480	23	170	0.9930	3.2200	0.7700	9.5000	64	White
6.5000	0.1900	0.3000	0.8000	0.0430	33	144	0.9936	3.4200	0.3900	9.1000	64	White
6.3000	0.4950	0.2200	1.8000	0.0460	31	140	0.9929	3.3900	0.5400	10.4000	64	White
7.1000	0.2500	0.3200	10.3000	0.0410	66	272	0.9969	3.1700	0.5200	9.1000	64	White
6.2000	0.2500	0.2100	15.5500	0.0390	28	159	0.9982	3.4800	0.6400	9.6000	64	White
6.8000	0.2400	0.3400	2.7000	0.0470	64.5000	218.5000	0.9934	3.3000	0.5800	9.7000	64	White
6	0.2900	0.2100	1.3000	0.0550	42	168	0.9914	3.3200	0.4300	11.1000	64	White
7.3000	0.4100	0.2400	6.8000	0.0570	41	163	0.9949	3.2000	0.4100	9.9000	64	White
5.7000	0.3600	0.2100	6.7000	0.0380	51	166	0.9941	3.2900	0.6300	10	64	White
6.8000	0.2800	0.4400	9.3000	0.0310	35	137	0.9946	3.1600	0.3600	10.4000	64	White
7.9000	0.2600	0.4100	15.1500	0.0400	38	216	0.9976	2.9600	0.6000	10	64	White
6.4000	0.3400	0.2300	6.3000	0.0390	37	143	0.9944	3.1900	0.6500	10	64	White
5.8000	0.4000	0.4200	4.4000	0.0470	38.5000	245	0.9937	3.2500	0.5700	9.6000	64	White
6.8000	0.1500	0.3000	5.3000	0.0500	40	127	0.9942	3.4000	0.3900	9.7000	64	White
7.2000	0.2700	0.2700	2.4000	0.0480	30	149	0.9936	3.1000	0.5100	9.2000	64	White
6.3000	0.2000	0.4000	1.5000	0.0370	35	107	0.9917	3.4600	0.5000	11.4000	64	White
7.3000	0.2800	0.3600	12.7000	0.0400	38	140	0.9980	3.3000	0.7900	9.6000	64	White
7.1000	0.5500	0.1300	1.7000	0.0730	21	165	0.9940	2.9700	0.5800	9.2000	64	White
6.3000	0.2200	0.3300	1.7000	0.0410	67	164	0.9928	3.3200	0.5600	10.4000	64	White
6.8000	0.2000	0.3800	4.7000	0.0400	27	103	0.9940	3.3700	0.5800	10.7000	64	White
7.8000	0.1800	0.3100	12.2000	0.0530	46	140	0.9980	3.0600	0.5300	8.9000	64	White
7.4000	0.3600	0.3300	1.4000	0.0250	27	55	0.9915	3.2100	0.3300	11.2000	64	White
7.4000	0.1500	0.4200	1.7000	0.0450	49	154	0.9920	3	0.6000	10.4000	64	White
6.8000	0.2800	0.1700	13.9000	0.0470	49	162	0.9983	3.2100	0.5100	9	64	White
6.4000	0.1600	0.2200	1.4000	0.0400	41	149	0.9933	3.4900	0.5800	10	64	White
7.7000	0.2200	0.4200	1.9000	0.0520	10	87	0.9922	3.3000	0.4900	11.8000	64	White
6.1000	0.4100	0.2400	1.6000	0.0490	16	137	0.9930	3.3200	0.5000	10.4000	64	White
8.2000	0.2300	0.2900	1.8000	0.0470	47	187	0.9933	3.1300	0.5000	10.2000	64	White
5.3000	0.3200	0.1200	6.6000	0.0430	22	141	0.9937	3.3600	0.6000	10.4000	64	White
6.1000	0.1400	0.2500	1.3000	0.0470	37	173	0.9925	3.3500	0.4600	10	64	White
6.7000	0.3100	0.3000	2.1000	0.0380	18	130	0.9928	3.3600	0.6300	10.6000	64	White
5.9000	0.2500	0.2500	11.3000	0.0520	30	165	0.9970	3.2400	0.4400	9.5000	64	White
6.7000	0.1900	0.3400	1	0.0220	22	94	0.9912	3.2300	0.5700	11.1000	64	White
7.7000	0.2000	0.4400	13.9000	0.0500	44	130	0.9986	3.1100	0.4800	10	64	White
6.9000	0.3100	0.3400	1.6000	0.0320	23	128	0.9917	3.3700	0.4700	11.7000	64	White
6.5000	0.2300	0.3300	13.8000	0.0420	25	139	0.9970	3.3500	0.5600	10.4000	64	White
6.4000	0.2500	0.3000	5.5000	0.0380	15	129	0.9948	3.1400	0.4900	9.6000	64	White
5.8000	0.2000	0.3000	1.5000	0.0310	21	57	0.9911	3.4400	0.5500	11	64	White
7	0.2100	0.3400	8.5000	0.0330	31	253	0.9953	3.2200	0.5600	10.5000	64	White
5	0.4400	0.0400	18.6000	0.0390	38	128	0.9985	3.3700	0.5700	10.2000	64	White
6.8000	0.2000	0.3600	1.6000	0.0280	7	46	0.9918	3.2100	0.6000	10.9000	64	White
7.8000	0.2900	0.2200	9.5000	0.0560	44	213	0.9971	3.0800	0.6100	9.3000	64	White
7.3000	0.2600	0.3100	1.6000	0.0400	39	173	0.9918	3.1900	0.5100	11.4000	64	White
6.8000	0.1800	0.2800	8.7000	0.0470	52	242	0.9952	3.2200	0.5300	10.5000	64	White
7.7000	0.3200	0.6200	10.6000	0.0360	56	153	0.9978	3.1300	0.4400	8.9000	64	White
8.3000	0.1400	0.2600	1.5000	0.0490	56	189	0.9946	3.2100	0.6200	9.5000	64	White
6.8000	0.3400	0.7400	2.8000	0.0880	23	185	0.9928	3.5100	0.7000	12	64	White
8.1000	0.2600	0.3700	1.9000	0.0720	48	159	0.9949	3.3700	0.7000	10.9000	64	White
6.3000	0.3400	0.2900	6.2000	0.0460	29	227	0.9952	3.2900	0.5300	10.1000	64	White
6.3000	0.2700	0.2500	5.8000	0.0380	52	155	0.9950	3.2800	0.3800	9.4000	64	White
5.3000	0.3950	0.0700	1.3000	0.0350	26	102	0.9920	3.5000	0.3500	10.6000	64	White
7.5000	0.4200	0.4500	9.1000	0.0290	20	125	0.9960	3.1200	0.3600	10.1000	64	White
5	0.3300	0.1600	1.5000	0.0490	10	97	0.9917	3.4800	0.4400	10.7000	64	White
9.4000	0.2600	0.5300	1.2000	0.0470	25	109	0.9921	3.2300	0.2800	12.5000	64	White
7.3000	0.2900	0.3000	13	0.0430	46	238	0.9986	3.0600	0.4100	8.7000	64	White
6.9000	0.2900	0.1600	6.8000	0.0340	65	212	0.9955	3.0800	0.3900	9	64	White
6.6000	0.1600	0.3000	1.6000	0.0340	15	78	0.9920	3.3800	0.4400	11.2000	64	White
6.3000	0.2300	0.2200	3.7500	0.0390	37	116	0.9927	3.2300	0.5000	10.7000	64	White
6.9000	0.1600	0.3500	1.3000	0.0430	21	182	0.9927	3.2500	0.6200	10.8000	64	White
9	0.2400	0.5000	1.2000	0.0480	26	107	0.9918	3.2100	0.3400	12.4000	64	White
7.2000	0.1600	0.3200	0.8000	0.0400	50	121	0.9922	3.2700	0.3300	10	64	White
8.4000	0.5800	0.2700	12.1500	0.0330	37	116	0.9959	2.9900	0.3900	10.8000	64	White
5.7000	0.2100	0.2400	2.3000	0.0470	60	189	0.9950	3.6500	0.7200	10.1000	64	White
6.2000	0.1200	0.2600	5.7000	0.0440	56	158	0.9951	3.5200	0.3700	10.5000	64	White
7	0.2000	0.3400	5.7000	0.0350	32	83	0.9928	3.1900	0.4600	11.5000	64	White
6.3000	0.6700	0.4800	12.6000	0.0520	57	222	0.9979	3.1700	0.5200	9.3000	64	White
5.8000	0.1700	0.3000	1.4000	0.0370	55	130	0.9909	3.2900	0.3800	11.3000	64	White
7	0.1800	0.4900	5.3000	0.0400	34	125	0.9914	3.2400	0.4000	12.2000	64	White
7.8000	0.4300	0.4900	13	0.0330	37	158	0.9955	3.1400	0.3500	11.3000	64	White
7.2000	0.0800	0.4900	1.3000	0.0500	18	148	0.9945	3.4600	0.4400	10.2000	64	White
5.6000	0.1850	0.4900	1.1000	0.0300	28	117	0.9918	3.5500	0.4500	10.3000	64	White
7.1000	0.3600	0.2400	1.8000	0.0250	32	102	0.9903	3.3400	0.5900	12.8000	64	White
7.6000	0.2300	0.4900	10	0.0360	45	182	0.9967	3.0800	0.5800	9.6000	64	White
8.6000	0.1600	0.4900	7.3000	0.0430	9	63	0.9953	3.1300	0.5900	10.5000	64	White
7.5000	0.1900	0.4900	1.6000	0.0470	42	140	0.9932	3.4000	0.4700	10.7000	64	White
9	0.2200	0.4900	10.4000	0.0480	52	195	0.9987	3.3100	0.4400	10.2000	64	White
6.9000	0.1800	0.3000	2	0.0380	39	190	0.9914	3.3200	0.3700	12.2000	64	White
7.5000	0.4000	1	19.5000	0.0410	33	148	0.9977	3.2400	0.3800	12	64	White
6.1000	0.1700	0.2700	1.5000	0.0560	45	135	0.9924	3.2000	0.4300	10.2000	64	White
7.4000	0.1800	0.3000	10.4000	0.0450	44	174	0.9966	3.1100	0.5700	9.7000	64	White
6.1000	0.2550	0.4400	12.3000	0.0450	53	197	0.9967	3.2400	0.5400	9.5000	64	White
7.8000	0.2200	0.3600	1.4000	0.0560	21	153	0.9930	3.2000	0.5300	10.4000	64	White
6.4000	0.2600	0.2100	7.1000	0.0400	35	162	0.9956	3.3900	0.5800	9.9000	64	White
6.8000	0.2300	0.2900	15.4000	0.0730	56	173	0.9984	3.0600	0.4100	8.7000	64	White
7.6000	0.3000	0.2200	10.2000	0.0490	57	191	0.9966	3.0800	0.4000	9.3000	64	White
8.8000	0.2000	0.4300	15	0.0530	60	184	1.0008	3.2800	0.7900	8.8000	64	White
6.6000	0.3600	0.2100	1.5000	0.0490	39	184	0.9928	3.1800	0.4100	9.9000	64	White
8.3000	0.2800	0.4500	7.8000	0.0590	32	139	0.9972	3.3300	0.7700	11.2000	64	White
7	0.2400	0.2500	1.7000	0.0420	48	189	0.9920	3.2500	0.4200	11.4000	64	White
7.1000	0.1800	0.2600	1.3000	0.0410	20	71	0.9926	3.0400	0.7400	9.9000	64	White
9.2000	0.7100	0.2300	6.2000	0.0420	15	93	0.9948	2.8900	0.3400	10.1000	64	White
9.2000	0.2700	0.3400	10.5000	0.0430	49	228	0.9974	3.0400	0.4100	10.4000	64	White
8.3000	0.4900	0.4300	2.5000	0.0360	32	116	0.9944	3.2300	0.4700	10.7000	64	White
8.4000	0.2000	0.2700	6.3000	0.0480	30	143	0.9966	3.2500	0.5000	9.1000	64	White
7.5000	0.3800	0.5000	12.8000	0.0420	57	184	0.9984	3.0900	0.4600	9	64	White
8	0.2200	0.3200	10.4000	0.0430	63	201	0.9970	3.1100	0.5300	9.5000	64	White
8.4000	0.2000	0.3800	11.8000	0.0550	51	170	1.0004	3.3400	0.8200	8.9000	64	White
7	0.2500	0.5600	2	0.0350	20	95	0.9918	3.2300	0.5300	11	64	White
6.9000	0.1900	0.3900	8	0.0280	22	84	0.9940	3.1100	0.6600	10.8000	64	White
5.6000	0.1300	0.2700	4.8000	0.0280	22	104	0.9948	3.3400	0.4500	9.2000	64	White
7.9000	0.1700	0.3200	1.6000	0.0530	47	150	0.9948	3.2900	0.7600	9.6000	64	White
7.7000	0.2300	0.3100	10.7000	0.0380	59	186	0.9969	3.1200	0.5500	9.5000	64	White
7	0.2400	0.3400	3	0.0350	36	102	0.9905	3.1800	0.4300	12.2000	64	White
6	0.3300	0.3800	9.7000	0.0400	29	124	0.9954	3.4700	0.4800	11	64	White
7.1000	0.1800	0.3200	12.2000	0.0480	36	125	0.9967	2.9200	0.5400	9.4000	64	White
7	0.1900	0.3300	6.3000	0.0320	42	127	0.9918	3.3100	0.3800	12.2000	64	White
8.8000	0.3300	0.3600	2.1000	0.0340	19	125	0.9917	2.9600	0.9800	12.7000	64	White
8.1000	0.3400	0.2800	7.5000	0.0400	70	230	0.9956	3.1400	0.5500	9.8000	64	White
8	0.2600	0.2800	4.8000	0.0500	34	150	0.9944	3.1300	0.5000	10	64	White
8.1000	0.3300	0.3600	7.4000	0.0370	36	156	0.9959	3.1900	0.5400	10.6000	64	White
5.2000	0.1600	0.3400	0.8000	0.0290	26	77	0.9916	3.2500	0.5100	10.1000	64	White
8.8000	0.2400	0.2300	10.3000	0.0320	12	97	0.9957	3.1300	0.4000	10.7000	64	White
6	0.2900	0.2100	15.5500	0.0430	20	142	0.9966	3.1100	0.5400	10.1000	64	White
6.1000	0.2800	0.2400	19.9500	0.0740	32	174	0.9992	3.1900	0.4400	9.3000	64	White
8.5000	0.3000	0.2800	3.1000	0.0540	54	174	0.9954	3.2100	0.4300	9.4000	64	White
7.4000	0.4000	0.4100	14.1000	0.0530	37	194	0.9989	3.2000	0.6300	9.4000	64	White
6.6000	0.2600	0.2500	11.6000	0.0450	45	178	0.9969	3.3300	0.4300	9.8000	64	White
7	0.1600	0.3200	1.1000	0.0320	29	80	0.9897	3.2300	0.3600	12.1000	64	White
8.9000	0.2600	0.3300	8.1000	0.0240	47	202	0.9956	3.1300	0.4600	10.8000	64	White
7.5000	0.2500	0.3200	8.2000	0.0240	53	209	0.9956	3.1200	0.4600	10.8000	64	White
9.2000	0.1400	0.3700	1.1000	0.0340	36	84	0.9914	3.0500	0.5500	11.6000	64	White
7.1000	0.1500	0.3400	1	0.0330	27	73	0.9897	3.2400	0.4100	12.2000	64	White
7.2000	0.3000	0.2600	1.5000	0.0410	46	178	0.9915	3.1900	0.5600	11.3000	64	White
6.2000	0.2500	0.3100	3.2000	0.0300	32	150	0.9901	3.1800	0.3100	12	64	White
7.6000	0.3200	0.2500	9.5000	0.0300	15	136	0.9937	3.1000	0.4400	12.1000	64	White
5.7000	0.2300	0.2800	9.6500	0.0250	26	121	0.9925	3.2800	0.3800	11.3000	64	White
7.5000	0.2800	0.3900	10.2000	0.0450	59	209	0.9972	3.1600	0.6300	9.6000	64	White
6.8000	0.2300	0.4200	7.4000	0.0440	56	189	0.9958	3.2200	0.4800	9.3000	64	White
6.8000	0.2300	0.4200	7.4000	0.0440	56	189	0.9958	3.2200	0.4800	9.3000	64	White
6.5000	0.3500	0.2800	12.4000	0.0510	86	213	0.9962	3.1600	0.5100	9.9000	64	White
6.3000	0.2000	0.1900	12.3000	0.0480	54	145	0.9967	3.1600	0.4200	9.3000	64	White
7.3000	0.2600	0.3300	11.8000	0.0570	48	127	0.9969	3.1000	0.5500	10	64	White
6.7000	0.1600	0.3400	1.6000	0.0260	27	109	0.9934	3.3400	0.5800	10.1000	64	White
7.6000	0.2700	0.3400	5	0.0400	18	56	0.9908	3.0600	0.4800	12.4000	64	White
6.3000	0.2500	0.2200	3.3000	0.0480	41	161	0.9926	3.1600	0.5000	10.5000	64	White
6.2000	0.1500	0.2700	1.4000	0.0410	51	117	0.9909	3.2800	0.3800	11.2000	64	White
6.6000	0.2100	0.3600	0.8000	0.0340	48	113	0.9917	3.2400	0.6800	10.5000	64	White
6.7000	0.1500	0.3800	1.7000	0.0370	20	84	0.9905	3.0900	0.5300	11.4000	64	White
6.2000	0.2000	0.3100	1	0.0310	22	73	0.9903	3.2400	0.5200	11.3000	64	White
5.7000	0.2800	0.2800	2.2000	0.0190	15	65	0.9902	3.0600	0.5200	11.2000	64	White
6.9000	0.2200	0.3100	6.3000	0.0290	41	131	0.9933	3.0800	0.4900	10.8000	64	White
6.9000	0.2200	0.3100	6.3000	0.0290	41	131	0.9933	3.0800	0.4900	10.8000	64	White
5.1000	0.2900	0.2800	8.3000	0.0260	27	107	0.9931	3.3600	0.3700	11	64	White
6.4000	0.1200	0.3000	1.1000	0.0310	37	94	0.9899	3.0100	0.5600	11.7000	64	White
7.5000	0.1900	0.4000	7.1000	0.0560	50	110	0.9954	3.0600	0.5200	9.9000	64	White
6.9000	0.3000	0.3000	10.5500	0.0370	4	28	0.9918	3.0700	0.3200	12.7000	64	White
6.2000	0.1600	0.3200	1.1000	0.0360	74	184	0.9910	3.2200	0.4100	11	64	White
6.5000	0.2300	0.4500	2.1000	0.0270	43	104	0.9905	3.0200	0.5200	11.3000	64	White
6.3000	0.2700	0.2900	12.2000	0.0440	59	196	0.9978	3.1400	0.4000	8.8000	64	White
7.1000	0.1700	0.4300	1.3000	0.0230	33	132	0.9907	3.1100	0.5600	11.7000	64	White
6.1000	0.1800	0.3800	2.3000	0.0330	28	111	0.9896	3.1600	0.4900	12.4000	64	White
6.5000	0.2900	0.2600	7	0.0400	18	113	0.9937	3.1700	0.3800	10.2000	64	White
7.7000	0.2500	0.4900	2.5000	0.0470	31	169	0.9925	3.0700	0.5700	10.6000	64	White
6.1000	0.2100	0.3800	1.5000	0.0390	37	122	0.9897	3.2000	0.4300	12	64	White
7.3000	0.2000	0.3900	2.3000	0.0480	24	87	0.9904	2.9400	0.3500	12	64	White
5.2000	0.3350	0.2000	1.7000	0.0330	17	74	0.9900	3.3400	0.4800	12.3000	64	White
6.6000	0.2400	0.3800	12.7500	0.0340	8	74	0.9939	3.1000	0.5700	12.9000	64	White
8.2000	0.3000	0.4400	12.4000	0.0430	52	154	0.9945	3.0400	0.3300	12	64	White
6.8000	0.2700	0.4200	7.3000	0.0540	58	200	0.9956	3.1200	0.4900	9.4000	64	White
6.8000	0.2100	0.3700	7	0.0380	27	107	0.9921	2.9800	0.8200	11.5000	64	White
7.4000	0.1900	0.3100	14.5000	0.0450	39	193	0.9986	3.1000	0.5000	9.2000	64	White
5.8000	0.2300	0.2000	2	0.0430	39	154	0.9923	3.2100	0.3900	10.2000	64	White
6.9000	0.3800	0.2900	13.6500	0.0480	52	189	0.9978	3	0.6000	9.5000	64	White
6.9000	0.3800	0.2900	13.6500	0.0480	52	189	0.9978	3	0.6000	9.5000	64	White
6.7000	0.3600	0.2800	8.3000	0.0340	29	81	0.9915	2.9600	0.3900	12.5000	64	White
6.5000	0.4300	0.2800	11.2500	0.0320	31	87	0.9922	3.0200	0.3800	12.4000	64	White
6	0.2900	0.2500	1.4000	0.0330	30	114	0.9879	3.0800	0.4300	13.2000	64	White
5.6000	0.3200	0.3300	7.4000	0.0370	25	95	0.9927	3.2500	0.4900	11.1000	64	White
5.3000	0.3600	0.2700	6.3000	0.0280	40	132	0.9919	3.3700	0.4000	11.6000	64	White
6.6000	0.2300	0.3700	8.5000	0.0360	46	153	0.9958	3.2000	0.4800	9.4000	64	White
7.7000	0.2400	0.3000	1.4000	0.0410	15	102	0.9929	3.2600	0.5300	10.4000	64	White
6.8000	0.1900	0.7100	17.5000	0.0420	21	114	0.9978	2.8500	0.5000	9.5000	64	White
6.8000	0.4500	0.2800	26.0500	0.0310	27	122	1.0030	3.0600	0.4200	10.6000	64	White
6.6000	0.3000	0.2500	8	0.0360	21	124	0.9936	3.0600	0.3800	10.8000	64	White
5.8000	0.5800	0	1.5000	0.0200	33	96	0.9892	3.2900	0.3800	12.4000	64	White
6.8000	0.1900	0.3300	4.9000	0.0470	42	130	0.9928	3.1200	0.5600	11	64	White
6.8000	0.1500	0.4100	12.9000	0.0440	79.5000	183	0.9974	3.2400	0.7800	10.2000	64	White
6.6000	0.1500	0.3400	1	0.0370	45	79	0.9895	2.9600	0.5000	11.7000	64	White
7	0.3400	0.2600	10.3000	0.0410	51	166	0.9938	3.0800	0.3500	11.6000	64	White
6.1000	0.2200	0.4600	1.8000	0.1600	34	74	0.9884	3.1900	0.3300	13.4000	64	White
6.3000	0.2400	0.2900	13.7000	0.0350	53	134	0.9957	3.1700	0.3800	10.6000	64	White
6.5000	0.2500	0.2700	17.4000	0.0640	29	140	0.9978	3.2000	0.4900	10.1000	64	White
6.9000	0.2100	0.6200	6.3000	0.0420	7	109	0.9936	2.9600	0.5900	10.2000	64	White
6.9000	0.2800	0.2800	12.2000	0.0420	52	139	0.9952	3.0300	0.5600	10.4000	64	White
6.5000	0.2700	0.1900	6.6000	0.0450	98	175	0.9936	3.1600	0.3400	10.1000	64	White
6.2000	0.2700	0.2600	12.1000	0.0460	43	127	0.9951	3.1600	0.3700	10.8000	64	White
7.4000	0.2500	0.3700	2.6000	0.0500	24	132	0.9914	3.0400	0.5300	11.2000	64	White
7.3000	0.2700	0.3000	1.3000	0.0400	26	84	0.9922	3.2800	0.5300	10.7000	64	White
7	0.1600	0.3000	2.6000	0.0430	34	90	0.9905	2.8800	0.4700	11.2000	64	White
5.6000	0.1850	0.1900	7.1000	0.0480	36	110	0.9944	3.2600	0.4100	9.5000	64	White
6.8000	0.1100	0.2700	8.6000	0.0440	45	104	0.9945	3.2000	0.3700	9.9000	64	White
7.3000	0.2300	0.4100	14.6000	0.0480	73	223	0.9986	3.1600	0.7100	9.4000	64	White
7.3000	0.2300	0.4100	14.6000	0.0480	73	223	0.9986	3.1600	0.7100	9.4000	64	White
6	0.2800	0.2700	4.1000	0.0460	50	147	0.9913	3.2700	0.5600	11.6000	64	White
6.2000	0.3200	0.4500	2.9000	0.0290	37	94	0.9900	3.2500	0.6000	12.4000	64	White
6.8000	0.1600	0.3600	1.3000	0.0340	32	98	0.9906	3.0200	0.5800	11.3000	64	White
6.8000	0.3000	0.2700	11.6000	0.0280	22	97	0.9931	2.9600	0.3800	11.7000	64	White
6.6000	0.1700	0.3600	1.9000	0.0360	38	110	0.9906	3.0500	0.5400	11.4000	64	White
5.8000	0.2300	0.2100	1.5000	0.0440	21	110	0.9914	3.3000	0.5700	11	64	White
7.4000	0.2600	0.2900	3.7000	0.0480	14	73	0.9915	3.0600	0.4500	11.4000	64	White
6.8000	0.2700	0.2400	4.6000	0.0980	36	127	0.9941	3.1500	0.4900	9.6000	64	White
6.8000	0.3000	0.2600	20.3000	0.0370	45	150	0.9973	3.0400	0.3800	12.3000	64	White
6.8000	0.2700	0.2800	7.8000	0.0380	26	89	0.9915	3.2400	0.3400	12.5000	64	White
5.9000	0.6500	0.2300	5	0.0350	20	128	0.9902	3.4600	0.4800	12.8000	64	White
6.1000	0.2500	0.2800	10	0.0550	56	131	0.9940	3.2200	0.3500	10.9000	64	White
6.8000	0.3400	0.2700	5.2000	0.0600	14	169	0.9925	3.2700	0.5700	11.6000	64	White
6.9000	0.2600	0.3800	10.5000	0.0440	33	139	0.9952	3.0600	0.5000	10.3000	64	White
6.6000	0.2300	0.3200	1.7000	0.0240	26	102	0.9908	3.2900	0.6000	11.8000	64	White
7.5000	0.3500	0.3700	2.5000	0.0660	29	89	0.9896	3.1400	0.4200	12.7000	64	White
5.7000	0.1800	0.2600	2.2000	0.0230	21	95	0.9893	3.0700	0.5400	12.3000	64	White
6.2000	0.3600	0.2200	5.2500	0.0380	44	145	0.9918	3.2200	0.4000	11.2000	64	White
6.2000	0.3600	0.2200	5.2500	0.0380	44	145	0.9918	3.2200	0.4000	11.2000	64	White
6.6000	0.2100	0.3000	9.9000	0.0410	64	174	0.9950	3.0700	0.5000	10.1000	64	White
5.7000	0.2200	0.2000	16	0.0440	41	113	0.9986	3.2200	0.4600	8.9000	64	White
6	0.2000	0.2600	6.8000	0.0490	22	93	0.9928	3.1500	0.4200	11	64	White
7.1000	0.2000	0.3500	3.2000	0.0340	21	107	0.9919	3.1100	0.5400	11.1000	64	White
7	0.3600	0.2500	5.7000	0.0150	14	73	0.9896	2.8200	0.5900	13.2000	64	White
6.4000	0.2900	0.2100	9.6500	0.0410	36	119	0.9933	2.9900	0.3400	10.9333	64	White
5.7000	0.3100	0.2900	7.3000	0.0500	33	143	0.9933	3.3100	0.5000	11.0667	64	White
6.1000	0.2200	0.5000	6.6000	0.0450	30	122	0.9941	3.2200	0.4900	9.9000	64	White
6.1000	0.3100	0.3400	2.8000	0.0420	59.5000	162	0.9918	3.2700	0.4700	10.8000	64	White
6.2000	0.3200	0.3200	2.2000	0.0360	15	70	0.9899	3.1600	0.4800	12.7000	64	White
6.6000	0.1600	0.2500	9.8000	0.0490	59.5000	137	0.9950	3.1600	0.3800	10	64	White
7.3000	0.2800	0.5400	12.9000	0.0490	62	152	0.9984	3.0600	0.4500	9.1000	64	White
6	0.2300	0.3400	1.3000	0.0250	23	111	0.9896	3.3600	0.3700	12.7000	64	White
6.3000	0.2500	0.5300	1.8000	0.0210	41	101	0.9893	3.1900	0.3100	13	64	White
5.7000	0.2800	0.3000	3.9000	0.0260	36	105	0.9896	3.2600	0.5800	12.7500	64	White
6	0.2300	0.3400	1.3000	0.0250	23	111	0.9896	3.3600	0.3700	12.7000	64	White
5.4000	0.2700	0.2200	4.6000	0.0220	29	107	0.9889	3.3300	0.5400	13.8000	64	White
6	0.2600	0.2600	2.2000	0.0350	10	72	0.9895	3.1100	0.4800	12.1500	64	White
6.3000	0.1500	0.3400	11.4000	0.0500	25	96	0.9975	3.2100	0.4900	10	64	White
6.3000	0.3700	0.5100	6.3000	0.0480	35	146	0.9943	3.1000	1.0100	10.5000	64	White
6.7000	0.5300	0.2900	4.3000	0.0690	20	114	0.9901	3.2200	0.5900	13.4000	64	White
6.5000	0.2900	0.3200	3	0.0360	38	93	0.9906	3.1600	0.5900	12	64	White
6.1000	0.1900	0.3700	2.6000	0.0410	24	99	0.9915	3.1800	0.5000	10.9000	64	White
6.7000	0.1600	0.3200	12.5000	0.0350	18	156	0.9967	2.8800	0.3600	9	64	White
7	0.2700	0.7400	1.3000	0.1730	34	121	0.9933	3.0400	0.4600	9.2000	64	White
5.7000	0.2700	0.1600	9	0.0530	32	111	0.9947	3.3600	0.3700	10.4000	64	White
6	0.2500	0.2800	7.7000	0.0530	37	132	0.9949	3.0600	0.5000	9.4000	64	White
6.4000	0.4200	0.4600	8.4000	0.0500	58	180	0.9950	3.1800	0.4600	9.7000	64	White
5.5000	0.1600	0.3100	1.2000	0.0260	31	68	0.9898	3.3300	0.4400	11.6500	64	White
6.3000	0.2300	0.5000	10.4000	0.0430	61	132	0.9954	2.8600	0.4600	9.1000	64	White
6.4000	0.1900	0.3500	10.2000	0.0430	40	106	0.9963	3.1600	0.5000	9.7000	64	White
6.6000	0.2900	0.7300	2.2000	0.0270	21	92	0.9900	3.1200	0.4800	12.4000	64	White
7	0.2400	0.4700	1.3000	0.0430	18	131	0.9918	3.1900	0.4500	11	64	White
5.3000	0.2750	0.2400	7.4000	0.0380	28	114	0.9931	3.3800	0.5100	11	64	White
7.1000	0.2300	0.3900	13.7000	0.0580	26	172	0.9976	2.9000	0.4600	9	64	White
6.6000	0.3400	0.4000	8.1000	0.0460	68	170	0.9949	3.1500	0.5000	9.5333	64	White
11.2000	0.2800	0.5600	1.9000	0.0750	17	60	0.9980	3.1600	0.5800	9.8000	63	Red
7.3000	0.3900	0.3100	2.4000	0.0740	9	46	0.9962	3.4100	0.5400	9.4000	63	Red
8.3000	0.6100	0.3000	2.1000	0.0840	11	50	0.9972	3.4000	0.6100	10.2000	63	Red
8.1000	0.5450	0.1800	1.9000	0.0800	13	35	0.9972	3.3000	0.5900	9	63	Red
7.5000	0.5200	0.4200	2.3000	0.0870	8	38	0.9972	3.5800	0.6100	10.5000	63	Red
8	0.7250	0.2400	2.8000	0.0830	10	62	0.9969	3.3500	0.5600	10	63	Red
8.5000	0.3700	0.2000	2.8000	0.0900	18	58	0.9980	3.3400	0.7000	9.6000	63	Red
