'wMotor_mean'	'wMotor_std'	'wMotor_fftPeakIdx'	'wMotor_skewness'	'wMotor_kurtosis'	'wMotor_peak2peak'	'wMotor_peak2rms'	'wMotor_rms'	'wMotor_mad'	'wMotor_csRange'	'wMotor_pLow'	'wMotor_pMid'	'wMotor_pHigh'	'wMotor_pKur'	'iMotor_mean'	'iMotor_std'	'iMotor_fftPeakIdx'	'iMotor_skewness'	'iMotor_kurtosis'	'iMotor_peak2peak'	'iMotor_peak2rms'	'iMotor_rms'	'iMotor_mad'	'iMotor_csRange'	'iMotor_pLow'	'iMotor_pMid'	'iMotor_pHigh'	'iMotor_pKur'	'qIn_mean'	'qIn_std'	'qIn_fftPeakIdx'	'qIn_skewness'	'qIn_kurtosis'	'qIn_peak2peak'	'qIn_peak2rms'	'qIn_rms'	'qIn_mad'	'qIn_csRange'	'qIn_pLow'	'qIn_pMid'	'qIn_pHigh'	'qIn_pKur'	'pIn_mean'	'pIn_std'	'pIn_fftPeakIdx'	'pIn_skewness'	'pIn_kurtosis'	'pIn_peak2peak'	'pIn_peak2rms'	'pIn_rms'	'pIn_mad'	'pIn_csRange'	'pIn_pLow'	'pIn_pMid'	'pIn_pHigh'	'pIn_pKur'	'qOut_mean'	'qOut_std'	'qOut_fftPeakIdx'	'qOut_skewness'	'qOut_kurtosis'	'qOut_peak2peak'	'qOut_peak2rms'	'qOut_rms'	'qOut_mad'	'qOut_csRange'	'qOut_pLow'	'qOut_pMid'	'qOut_pHigh'	'qOut_pKur'	'pOut_mean'	'pOut_std'	'pOut_fftPeakIdx'	'pOut_skewness'	'pOut_kurtosis'	'pOut_peak2peak'	'pOut_peak2rms'	'pOut_rms'	'pOut_mad'	'pOut_csRange'	'pOut_pLow'	'pOut_pMid'	'pOut_pHigh'	'pOut_pKur'	'faultCode'
885.9119	6.3312	763	-0.1390	2.8460	38.3568	1.0180	885.9345	5.1589	1.2394e+06	19.3908	627.2868	84.7632	0.0718	38.6404	0.2536	763	-0.1470	2.7083	1.5838	1.0161	38.6412	0.2089	5.4059e+04	0.0508	1.1476	0.0802	0.0718	34.8771	3.1712	763	0.5350	3.9790	19.9601	1.3264	35.0209	2.3480	4.8798e+04	58.3597	91.4703	29.8602	2.4280	-0.1459	0.0150	763	-0.1556	2.9841	0.0966	1.3307	0.1467	0.0119	204.1946	0.0010	0.0011	0.0012	1.8356	32.8774	4.2234	722	-0.1812	2.2164	20.2436	1.2397	33.1473	3.5368	4.5991e+04	256.8997	174.9785	23.2648	2.4280	7.2043	0.0342	722	-0.1060	2.1506	0.1710	1.0109	7.2044	0.0289	1.0079e+04	0.0166	0.0113	0.0017	2.1138	001
882.9088	6.2181	763	-0.1139	2.7222	39.7011	1.0192	882.9306	5.0552	1.2352e+06	29.3478	656.8614	78.0369	0.0718	38.5310	0.2557	763	-0.2099	2.8241	1.4929	1.0161	38.5318	0.2094	5.3906e+04	0.0291	1.2247	0.0727	2.9755	35.0763	3.3503	763	0.7793	4.7034	21.1398	1.3639	35.2358	2.3882	4.9075e+04	62.8715	103.5658	35.6610	2.7466	-0.1465	0.0156	763	-0.3390	3.3948	0.1016	1.3739	0.1473	0.0122	204.9880	0.0011	0.0012	0.0010	2.4280	33.5160	3.6838	763	-0.2537	2.3828	17.1607	1.2080	33.7177	3.0323	4.6886e+04	149.9130	144.9917	20.9212	2.7511	7.2085	0.0304	763	-0.1694	2.3852	0.1528	1.0095	7.2086	0.0250	1.0085e+04	0.0104	0.0099	0.0015	2.4235	001
878.6941	6.1704	763	-0.1590	2.8662	36.5938	1.0175	878.7157	4.9850	1.2293e+06	16.5517	685.2034	71.7570	2.9755	38.3425	0.2555	763	-0.2344	2.9354	1.5910	1.0168	38.3433	0.2083	5.3641e+04	0.0115	1.2146	0.1075	0.0718	35.2212	3.8103	742	1.2180	5.2985	22.4679	1.4072	35.4266	2.6376	4.9277e+04	59.4566	145.6293	30.1324	2.6479	-0.1468	0.0169	742	-0.5627	4.0631	0.1076	1.4135	0.1478	0.0127	205.4687	0.0009	0.0022	0.0010	1.3599	34.5693	2.9753	824	-0.6525	2.8241	14.6955	1.1648	34.6971	2.4022	4.8361e+04	26.9214	115.0269	18.2337	2.6524	7.2187	0.0253	824	-0.4713	2.6726	0.1327	1.0077	7.2188	0.0206	1.0099e+04	0.0021	0.0083	0.0014	0.0673	001
876.2030	6.3109	762	-0.1663	3.0361	39.6290	1.0195	876.2258	5.0524	1.2258e+06	8.8498	652.2793	110.3326	0.0718	38.2285	0.2538	702	-0.1357	2.7601	1.4461	1.0164	38.2293	0.2079	5.3482e+04	0.0045	1.2108	0.0959	0.0718	35.5063	4.1969	742	1.4779	5.8173	22.3781	1.4186	35.7533	2.8005	4.9675e+04	65.3018	180.5534	37.2226	2.9755	-0.1491	0.0187	742	-0.8260	4.2027	0.1234	1.4796	0.1502	0.0139	208.5447	0.0014	0.0031	0.0009	2.6479	35.5305	2.7509	824	-0.7257	2.7641	13.5615	1.1462	35.6368	2.2535	4.9707e+04	0.8386	100.9910	14.4344	2.9800	7.2251	0.0231	762	-0.6157	2.6983	0.1271	1.0062	7.2251	0.0190	1.0108e+04	0.0001	0.0071	0.0012	0.0763	000
876.9137	6.1956	762	-0.0864	2.8226	36.5419	1.0196	876.9355	5.0227	1.2268e+06	4.7288	631.0975	96.6181	0.0718	38.2621	0.2511	640	-0.1469	2.6201	1.4040	1.0156	38.2630	0.2074	5.3529e+04	0.0115	1.2355	0.0913	0.0718	35.4479	4.1287	742	1.4263	5.7833	23.1144	1.4118	35.6874	2.7451	4.9592e+04	66.3318	177.3406	44.8075	2.9486	-0.1483	0.0179	742	-0.7020	3.9562	0.1144	1.4349	0.1493	0.0134	207.4114	0.0016	0.0026	0.0009	2.9755	35.2375	2.8244	824	-0.6470	2.6784	13.7741	1.1524	35.3505	2.3194	4.9294e+04	5.6386	112.0656	20.4440	2.6389	7.2230	0.0237	824	-0.5998	2.6909	0.1222	1.0072	7.2230	0.0192	1.0105e+04	0.0004	0.0070	0.0011	0.0718	001
880.6644	6.1269	639	-0.1277	2.7494	39.3470	1.0209	880.6857	4.9951	1.2321e+06	14.7392	609.6826	90.2153	1.3374	38.4322	0.2529	763	-0.1456	2.7129	1.4810	1.0167	38.4330	0.2074	5.3767e+04	0.0235	1.2173	0.0728	0.0718	35.1147	3.5772	763	1.0057	5.1059	20.5120	1.3737	35.2963	2.5059	4.9129e+04	64.1127	116.4887	39.5598	1.9478	-0.1468	0.0166	742	-0.4351	3.6652	0.1164	1.4570	0.1477	0.0128	205.3756	0.0011	0.0018	0.0012	2.5223	34.0079	3.2980	763	-0.3995	2.6238	17.6289	1.1935	34.1673	2.6626	4.7574e+04	77.4956	132.9496	18.6191	2.4011	7.2133	0.0274	763	-0.2680	2.5543	0.1565	1.0093	7.2133	0.0222	1.0091e+04	0.0062	0.0093	0.0017	2.5178	001
880.8236	6.1908	763	-0.1059	2.7990	37.6850	1.0198	880.8453	5.0186	1.2323e+06	16.6894	652.0515	72.8969	0.0718	38.4279	0.2509	763	-0.2407	2.8476	1.5201	1.0153	38.4287	0.2052	5.3761e+04	0.0191	1.1450	0.1119	0.0718	35.1048	3.5609	742	1.0273	5.0068	20.5852	1.3668	35.2848	2.5130	4.9114e+04	53.8667	122.5129	31.4823	2.4549	-0.1471	0.0162	742	-0.4218	3.6797	0.1102	1.4185	0.1479	0.0126	205.7434	0.0008	0.0022	0.0010	0.3231	33.9980	3.2921	763	-0.4509	2.7453	17.3739	1.2037	34.1569	2.6427	4.7559e+04	87.6798	137.6742	21.8885	1.3374	7.2130	0.0274	763	-0.2866	2.5480	0.1501	1.0086	7.2131	0.0223	1.0091e+04	0.0051	0.0089	0.0014	0.0673	001
880.6881	6.1211	763	-0.2224	2.9228	39.5423	1.0179	880.7093	4.9644	1.2321e+06	13.9068	601.3876	111.6934	0.0718	38.4301	0.2527	763	-0.1871	2.7600	1.4792	1.0167	38.4309	0.2080	5.3764e+04	0.0262	1.1429	0.1056	0.0718	35.1551	3.5613	763	1.0127	4.9737	20.6694	1.3710	35.3349	2.5025	4.9185e+04	53.0938	125.6463	31.4784	0.0583	-0.1472	0.0166	639	-0.4976	3.6584	0.1048	1.4006	0.1481	0.0128	205.8916	0.0012	0.0021	0.0012	1.3419	34.0483	3.3147	763	-0.3649	2.5208	18.0465	1.2150	34.2091	2.6874	4.7630e+04	89.6424	131.0600	18.4401	2.6838	7.2129	0.0274	763	-0.3533	2.6940	0.1472	1.0088	7.2130	0.0220	1.0091e+04	0.0059	0.0093	0.0017	1.3374	001
876.9752	6.3042	762	-0.0773	2.7153	36.8793	1.0180	876.9978	5.1358	1.2269e+06	8.3007	684.4987	106.5223	0.0718	38.2665	0.2562	762	-0.1013	2.5461	1.4508	1.0177	38.2673	0.2119	5.3535e+04	0.0127	1.1760	0.0976	0.0718	35.4190	4.0684	742	1.3783	5.6596	24.1531	1.4512	35.6517	2.7281	4.9551e+04	75.6541	169.5648	41.5441	0.9649	-0.1479	0.0180	742	-0.8426	4.5080	0.1119	1.4639	0.1490	0.0135	206.9737	0.0014	0.0026	0.0010	0.9021	35.2086	2.8059	824	-0.6774	2.6719	14.4813	1.1665	35.3201	2.3028	4.9254e+04	2.7703	117.1293	16.5699	0.4712	7.2233	0.0233	824	-0.5569	2.6384	0.1183	1.0072	7.2234	0.0189	1.0105e+04	0.0003	0.0074	0.0013	0.0718	001
883.1409	6.2009	763	-0.1553	2.9595	40.0160	1.0211	883.1627	4.9944	1.2355e+06	14.3979	621.2023	97.8240	0.0718	38.5356	0.2529	763	-0.1332	2.7002	1.4624	1.0163	38.5364	0.2082	5.3912e+04	0.0115	1.2231	0.0940	0.0718	35.0132	3.3736	763	0.8257	4.6925	19.8771	1.3521	35.1753	2.4143	4.8988e+04	50.7881	96.5227	34.4259	2.1497	-0.1466	0.0157	763	-0.2824	3.5112	0.1076	1.3969	0.1474	0.0123	205.0561	0.0009	0.0017	0.0014	1.6381	33.4529	3.7177	763	-0.2533	2.4410	18.3513	1.2274	33.6587	3.0521	4.6799e+04	159.1048	146.6945	26.4469	2.1497	7.2085	0.0305	763	-0.2011	2.3821	0.1479	1.0089	7.2085	0.0252	1.0085e+04	0.0096	0.0094	0.0021	1.6381	001
880.8640	6.0813	763	-0.1054	2.7493	36.1734	1.0180	880.8850	4.9530	1.2323e+06	6.3382	584.7409	95.5456	0.0718	38.4319	0.2509	763	-0.1882	2.8554	1.4295	1.0153	38.4327	0.2047	5.3767e+04	0.0125	1.1215	0.0939	0.0718	35.1481	3.5980	763	1.0615	5.1796	20.9266	1.3753	35.3317	2.5201	4.9176e+04	51.6043	115.6375	39.8653	2.4863	-0.1469	0.0167	742	-0.4660	3.7311	0.1101	1.4273	0.1478	0.0129	205.4747	0.0012	0.0018	0.0013	2.1453	34.0413	3.3266	763	-0.3635	2.4999	16.3624	1.1844	34.2033	2.7126	4.7622e+04	92.1514	133.6933	21.3091	2.6569	7.2132	0.0274	763	-0.3332	2.5706	0.1447	1.0093	7.2133	0.0221	1.0091e+04	0.0056	0.0095	0.0016	2.1497	001
883.1527	6.1283	763	-0.2059	2.7258	33.7140	1.0167	883.1739	5.0067	1.2355e+06	6.9913	607.6244	93.4867	0.0718	38.5300	0.2494	763	-0.2008	2.7123	1.4484	1.0158	38.5308	0.2055	5.3904e+04	0.0090	1.0322	0.0775	0.0718	35.0470	3.3858	763	0.7925	4.4921	20.0288	1.3366	35.2100	2.4376	4.9036e+04	61.1051	106.8018	34.0033	1.0771	-0.1462	0.0162	763	-0.3387	3.3018	0.1069	1.4333	0.1471	0.0126	204.5480	0.0012	0.0020	0.0011	1.4990	33.4867	3.7037	763	-0.2484	2.4090	18.7238	1.2193	33.6907	3.0430	4.6848e+04	156.7882	137.4900	24.6742	2.3562	7.2088	0.0308	763	-0.2175	2.4278	0.1591	1.0095	7.2089	0.0254	1.0085e+04	0.0113	0.0093	0.0018	2.9666	001
879.6434	6.1158	763	-0.1115	2.8402	38.8914	1.0207	879.6646	4.9313	1.2306e+06	2.9276	621.2875	75.6408	0.0718	38.3820	0.2582	763	-0.1818	2.7436	1.5662	1.0158	38.3828	0.2101	5.3697e+04	0.0161	1.1541	0.0897	0.0718	35.2241	3.6600	742	1.1372	5.2158	21.6643	1.3726	35.4136	2.5421	4.9282e+04	52.8160	124.1598	31.9705	2.1363	-0.1468	0.0171	742	-0.5569	4.0100	0.1180	1.4345	0.1478	0.0129	205.4190	0.0010	0.0023	0.0011	2.3607	34.3394	3.1358	763	-0.4518	2.5859	16.8087	1.2100	34.4822	2.5463	4.8039e+04	57.8716	128.4119	18.7321	1.4990	7.2160	0.0258	763	-0.3763	2.6524	0.1414	1.0083	7.2160	0.0208	1.0095e+04	0.0038	0.0082	0.0015	2.3607	001
876.1013	6.2594	762	-0.2156	2.8874	42.7836	1.0228	876.1236	5.0552	1.2257e+06	5.0655	642.2457	91.1186	0.0718	38.2298	0.2541	762	-0.1853	2.6067	1.3545	1.0140	38.2306	0.2094	5.3484e+04	0.0046	1.1672	0.0857	0.0718	35.4971	4.1968	742	1.4758	5.8589	24.2336	1.4601	35.7441	2.8152	4.9660e+04	76.0127	195.5676	40.0768	1.7009	-0.1483	0.0182	742	-0.8047	4.3290	0.1112	1.4442	0.1494	0.0136	207.4652	0.0016	0.0024	0.0012	0.7674	35.5213	2.7685	824	-0.7234	2.8154	14.4280	1.1556	35.6289	2.2520	4.9691e+04	0.3544	107.7927	17.3978	1.5349	7.2259	0.0232	824	-0.6105	2.7733	0.1420	1.0085	7.2259	0.0188	1.0109e+04	0	0.0080	0.0014	0.0763	000
881.8702	6.1008	763	-0.1034	2.7775	36.6063	1.0183	881.8912	4.9595	1.2338e+06	10.5558	609.8786	82.6210	1.8446	38.4808	0.2522	763	-0.1994	2.7468	1.3920	1.0145	38.4817	0.2066	5.3835e+04	0.0185	1.1901	0.0904	0.0718	35.0423	3.4995	763	0.8941	4.8031	20.0425	1.3474	35.2165	2.4836	4.9028e+04	56.9900	109.8246	40.4510	2.7556	-0.1468	0.0160	763	-0.3314	3.7687	0.1112	1.4508	0.1477	0.0123	205.3919	0.0009	0.0021	0.0009	0.1346	33.7054	3.5160	763	-0.3372	2.5337	17.8317	1.2014	33.8881	2.8346	4.7151e+04	113.4954	137.0034	21.7187	2.7601	7.2107	0.0288	763	-0.2322	2.4192	0.1473	1.0099	7.2107	0.0236	1.0088e+04	0.0078	0.0098	0.0012	0.1436	001
879.7526	6.1301	639	-0.1633	2.8846	35.0612	1.0179	879.7740	4.9599	1.2308e+06	7.4251	610.1917	89.1584	0.0718	38.3810	0.2538	763	-0.2142	2.8340	1.4805	1.0152	38.3818	0.2069	5.3696e+04	0.0095	1.1764	0.0888	0.0718	35.2000	3.6665	742	1.1547	5.3859	21.7224	1.4116	35.3903	2.5198	4.9248e+04	58.2543	132.1191	36.2874	1.3509	-0.1474	0.0169	742	-0.5160	3.9444	0.1094	1.4292	0.1484	0.0128	206.2595	0.0010	0.0021	0.0011	0.6059	34.3153	3.1008	763	-0.4972	2.6734	15.9731	1.1868	34.4551	2.4956	4.8005e+04	48.7013	126.1818	15.9697	2.1363	7.2154	0.0260	763	-0.3729	2.5772	0.1475	1.0102	7.2154	0.0210	1.0094e+04	0.0033	0.0088	0.0014	0.0673	001
876.0706	6.2347	762	-0.2013	2.7970	36.2625	1.0176	876.0928	5.0719	1.2256e+06	5.8144	671.4352	87.7505	0.0718	38.2275	0.2549	762	-0.1757	2.8750	1.5583	1.0157	38.2283	0.2075	5.3481e+04	0.0116	1.1956	0.0912	0.0718	35.5316	4.2220	660	1.4742	5.8910	23.9227	1.4318	35.7814	2.8084	4.9708e+04	74.2628	180.8401	35.9685	1.4137	-0.1485	0.0181	742	-0.8345	4.4633	0.1216	1.4963	0.1496	0.0133	207.8106	0.0012	0.0028	0.0010	0.0583	35.5558	2.7786	824	-0.7426	2.7971	13.8815	1.1432	35.6641	2.2807	4.9739e+04	0.2139	110.4681	16.3883	2.2440	7.2256	0.0236	762	-0.6192	2.6383	0.1190	1.0065	7.2257	0.0194	1.0109e+04	0	0.0077	0.0013	0.0763	000
876.0874	6.2498	762	-0.1477	2.9794	40.2597	1.0183	876.1097	5.0273	1.2257e+06	9.3426	632.2390	91.1787	0.0718	38.2285	0.2525	762	-0.1593	2.8271	1.5292	1.0152	38.2293	0.2065	5.3482e+04	0.0094	1.2275	0.1019	0.0718	35.4838	4.2080	742	1.4690	5.7626	22.5382	1.4187	35.7323	2.8178	4.9643e+04	74.7399	184.4142	39.1694	2.9800	-0.1483	0.0181	660	-0.8057	4.3566	0.1183	1.4996	0.1495	0.0135	207.5538	0.0013	0.0027	0.0012	2.0914	35.5080	2.7603	762	-0.7298	2.7911	14.2100	1.1576	35.6150	2.2563	4.9675e+04	0.4155	110.7890	18.1303	2.6928	7.2258	0.0236	578	-0.6546	2.7523	0.1245	1.0068	7.2259	0.0193	1.0109e+04	0	0.0076	0.0013	0.0763	000
879.6500	6.1858	763	-0.1373	2.8079	41.0192	1.0206	879.6718	5.0322	1.2306e+06	6.5869	617.4472	103.0501	0.0718	38.3872	0.2560	763	-0.1415	2.7094	1.5533	1.0184	38.3880	0.2102	5.3704e+04	0.0276	1.2443	0.0803	0.0718	35.1769	3.6725	742	1.0567	5.0285	20.3057	1.3548	35.3680	2.5498	4.9216e+04	50.8154	133.4025	34.5810	2.1138	-0.1475	0.0164	742	-0.5601	3.9055	0.1103	1.4285	0.1484	0.0125	206.3688	0.0010	0.0023	0.0010	1.8760	34.2923	3.1119	763	-0.4632	2.6776	15.5499	1.1765	34.4331	2.5042	4.7972e+04	54.4494	128.2263	19.9639	2.3741	7.2153	0.0261	763	-0.4160	2.6639	0.1425	1.0081	7.2153	0.0212	1.0094e+04	0.0037	0.0091	0.0014	1.0143	001
884.4606	6.2519	763	-0.1468	2.7903	37.6949	1.0182	884.4827	5.0941	1.2374e+06	31.3607	611.6265	81.6050	0.0718	38.5854	0.2492	763	-0.1772	2.7504	1.4443	1.0162	38.5862	0.2050	5.3982e+04	0.0268	1.1435	0.1129	0.0718	34.9351	3.2602	763	0.6593	4.3494	19.5677	1.3243	35.0868	2.3773	4.8876e+04	60.0165	93.8554	32.6158	0.6956	-0.1464	0.0154	763	-0.1389	3.2365	0.1015	1.4005	0.1472	0.0121	204.8220	0.0013	0.0014	0.0013	1.2073	33.1552	3.9592	763	-0.1947	2.2767	19.2280	1.2387	33.3906	3.3054	4.6377e+04	209.4483	152.7014	22.5175	2.5716	7.2063	0.0325	763	-0.0762	2.2588	0.1556	1.0098	7.2063	0.0271	1.0082e+04	0.0144	0.0099	0.0018	1.2611	001
879.6302	6.2068	763	-0.0966	2.6745	38.5910	1.0206	879.6521	5.0878	1.2306e+06	5.4560	604.5525	113.2651	0.0718	38.3867	0.2521	763	-0.1588	2.6553	1.4614	1.0156	38.3875	0.2079	5.3704e+04	0.0133	1.1574	0.1062	0.0718	35.2334	3.6897	742	1.1281	5.2360	21.6509	1.3810	35.4259	2.5671	4.9294e+04	54.1040	137.2051	35.1037	1.2925	-0.1474	0.0169	742	-0.4444	3.6652	0.1108	1.4118	0.1483	0.0131	206.1994	0.0011	0.0021	0.0011	2.5671	34.3487	3.1248	763	-0.4992	2.6857	16.3287	1.2009	34.4904	2.5185	4.8051e+04	48.3186	127.1949	18.3609	1.2925	7.2154	0.0261	763	-0.3589	2.5962	0.1340	1.0080	7.2155	0.0211	1.0094e+04	0.0041	0.0089	0.0015	0.4264	001
881.9613	6.1513	763	-0.1001	2.8378	36.7748	1.0195	881.9828	4.9818	1.2339e+06	13.0797	589.3107	108.2081	0.0718	38.4763	0.2495	763	-0.1137	2.6071	1.4116	1.0162	38.4771	0.2046	5.3829e+04	0.0124	1.1162	0.0898	0.0718	35.0417	3.4403	763	0.9349	4.8965	19.8704	1.3476	35.2101	2.4308	4.9030e+04	63.8675	109.6599	43.9409	2.7870	-0.1463	0.0161	742	-0.3715	3.6945	0.1104	1.4270	0.1472	0.0124	204.7108	0.0012	0.0015	0.0011	2.1946	33.7048	3.5009	763	-0.3192	2.5328	17.5244	1.2249	33.8860	2.8467	4.7153e+04	107.5568	137.8277	21.1918	2.7826	7.2111	0.0291	763	-0.2152	2.4977	0.1652	1.0102	7.2112	0.0237	1.0088e+04	0.0077	0.0095	0.0015	1.6426	001
880.6555	6.0850	763	-0.0534	2.6409	33.3074	1.0175	880.6765	4.9321	1.2321e+06	6.4130	576.1332	90.8004	0.0718	38.4322	0.2551	639	-0.0947	2.5742	1.4848	1.0161	38.4331	0.2113	5.3767e+04	0.0183	1.2226	0.0833	0.0718	35.1566	3.5984	742	1.0221	5.1412	21.4986	1.3839	35.3401	2.5047	4.9188e+04	60.3650	121.4730	35.5569	2.7960	-0.1471	0.0166	742	-0.3315	3.7019	0.1167	1.4436	0.1481	0.0127	205.8139	0.0007	0.0021	0.0014	2.6838	34.0497	3.3131	763	-0.4229	2.6224	16.7059	1.1965	34.2104	2.6788	4.7633e+04	82.8778	136.2432	22.4245	2.8005	7.2130	0.0278	763	-0.2916	2.5380	0.1438	1.0091	7.2130	0.0225	1.0091e+04	0.0051	0.0091	0.0016	2.6883	001
877.8881	6.1712	763	-0.1322	2.7343	37.4713	1.0187	877.9098	4.9975	1.2282e+06	9.6054	666.6496	83.3944	0.0718	38.3022	0.2515	762	-0.1167	2.6552	1.4633	1.0173	38.3030	0.2064	5.3585e+04	0.0195	1.1843	0.0987	0.0718	35.3252	3.9136	742	1.2803	5.3796	22.1381	1.4056	35.5412	2.6892	4.9421e+04	61.6527	159.9342	35.5827	1.0592	-0.1476	0.0173	742	-0.6281	3.8820	0.1131	1.4661	0.1486	0.0131	206.4597	0.0010	0.0024	0.0012	2.7960	34.9019	2.8538	824	-0.6441	2.6774	14.3651	1.1524	35.0183	2.3383	4.8825e+04	14.9589	122.8724	17.9408	0.7001	7.2209	0.0243	824	-0.6079	2.8727	0.1272	1.0073	7.2209	0.0196	1.0102e+04	0.0009	0.0085	0.0016	0.0718	001
877.8278	6.1464	762	-0.0693	2.7006	38.4485	1.0203	877.8493	4.9966	1.2281e+06	16.1144	628.0192	98.5094	0.0718	38.3021	0.2552	762	-0.2186	2.8700	1.6038	1.0166	38.3030	0.2079	5.3585e+04	0.0110	1.2222	0.0864	0.0718	35.3788	3.8971	660	1.3036	5.4869	20.9414	1.3741	35.5927	2.6389	4.9497e+04	57.9203	159.7801	35.6498	1.8176	-0.1481	0.0176	742	-0.7470	4.1669	0.1171	1.5020	0.1492	0.0132	207.2226	0.0012	0.0022	0.0012	2.4235	34.9555	2.8212	824	-0.6921	2.8094	15.3084	1.1734	35.0691	2.2849	4.8901e+04	15.1766	113.3436	15.8711	1.8221	7.2203	0.0241	824	-0.5576	2.6676	0.1268	1.0069	7.2204	0.0196	1.0101e+04	0.0011	0.0085	0.0014	0.0718	001
876.1858	6.2667	762	-0.1904	2.9304	40.7435	1.0184	876.2082	5.0629	1.2258e+06	6.2127	687.6760	83.7850	0.0718	38.2274	0.2535	762	-0.1532	2.7299	1.5163	1.0160	38.2283	0.2081	5.3480e+04	0.0084	1.1044	0.0889	0.0718	35.5209	4.2096	742	1.4051	5.5928	22.3394	1.4035	35.7693	2.8329	4.9695e+04	71.1369	186.9218	38.9203	1.7144	-0.1483	0.0186	742	-0.7498	4.0693	0.1239	1.4756	0.1494	0.0140	207.4129	0.0016	0.0028	0.0010	1.8221	35.5451	2.7999	762	-0.7419	2.7811	14.3674	1.1781	35.6552	2.2820	4.9726e+04	1.2631	117.3524	19.1637	0.0628	7.2259	0.0233	762	-0.6104	2.7296	0.1190	1.0063	7.2259	0.0190	1.0109e+04	0	0.0070	0.0015	0.0763	000
876.8810	6.2171	762	-0.1240	2.8222	39.1698	1.0193	876.9030	5.0411	1.2268e+06	7.8624	574.9205	85.3787	2.9307	38.2679	0.2522	762	-0.1436	2.8355	1.5143	1.0168	38.2688	0.2052	5.3537e+04	0.0067	1.1132	0.1024	2.7377	35.4425	4.0375	742	1.3988	5.7923	21.9542	1.4009	35.6716	2.6850	4.9584e+04	64.4261	177.0985	36.6692	0.9739	-0.1481	0.0179	742	-0.7862	4.2897	0.1209	1.4712	0.1492	0.0135	207.2197	0.0014	0.0024	0.0012	1.0996	35.2321	2.7614	824	-0.6690	2.6474	12.9998	1.1427	35.3401	2.2696	4.9287e+04	4.4131	118.1930	15.2520	1.2162	7.2231	0.0239	824	-0.6670	2.8000	0.1334	1.0075	7.2232	0.0194	1.0105e+04	0.0003	0.0087	0.0015	0.0718	001
880.8474	6.2326	763	-0.1314	2.7360	38.9448	1.0193	880.8694	5.0789	1.2323e+06	12.8816	644.1614	101.6858	2.7377	38.4326	0.2523	763	-0.1619	2.5954	1.4235	1.0153	38.4334	0.2092	5.3768e+04	0.0167	1.2541	0.1054	0.0718	35.1044	3.5757	763	0.9961	4.9160	20.4202	1.3566	35.2859	2.5307	4.9113e+04	65.7281	127.6922	36.7731	2.9307	-0.1468	0.0162	742	-0.4477	3.8099	0.1082	1.4234	0.1477	0.0124	205.4490	0.0011	0.0019	0.0011	1.2073	33.9976	3.2914	763	-0.4472	2.6290	15.8980	1.1855	34.1564	2.6623	4.7558e+04	81.1757	123.3575	20.2229	1.6112	7.2132	0.0275	763	-0.2854	2.5671	0.1531	1.0104	7.2133	0.0223	1.0091e+04	0.0060	0.0094	0.0014	2.1049	001
881.9697	6.1282	763	-0.1590	2.6426	35.9422	1.0171	881.9910	5.0374	1.2339e+06	12.2648	679.7295	107.5886	0.0718	38.4781	0.2516	763	-0.1038	2.7258	1.4362	1.0159	38.4790	0.2071	5.3831e+04	0.0253	1.2530	0.0828	0.0718	35.0959	3.4811	763	0.8896	4.8399	20.4685	1.3637	35.2680	2.4505	4.9105e+04	61.1554	115.1908	36.3827	2.7377	-0.1469	0.0160	763	-0.3664	3.6643	0.1034	1.3810	0.1477	0.0124	205.5227	0.0008	0.0016	0.0011	2.9307	33.7590	3.4684	763	-0.3448	2.5519	16.9014	1.1941	33.9365	2.8093	4.7228e+04	108.7121	132.8303	22.0469	2.7377	7.2106	0.0287	763	-0.2580	2.4424	0.1486	1.0085	7.2106	0.0234	1.0088e+04	0.0073	0.0086	0.0016	1.6112	001
876.9308	6.1609	762	-0.1752	2.8861	37.8799	1.0184	876.9525	5.0096	1.2268e+06	11.1793	581.4339	83.9570	0.0718	38.2666	0.2515	762	-0.1468	2.6370	1.4759	1.0172	38.2674	0.2073	5.3536e+04	0.0067	1.1966	0.0898	0.0718	35.4659	4.0578	742	1.3922	5.7063	23.7450	1.4290	35.6971	2.7052	4.9618e+04	66.6070	165.8843	38.6284	1.6965	-0.1479	0.0180	742	-0.6672	4.1210	0.1210	1.4942	0.1489	0.0134	206.8497	0.0010	0.0027	0.0013	2.7332	35.2555	2.7371	824	-0.7467	2.8052	14.3121	1.1555	35.3616	2.2446	4.9321e+04	4.1279	105.7466	16.6658	1.6202	7.2234	0.0234	824	-0.6117	2.7074	0.1269	1.0080	7.2234	0.0192	1.0106e+04	0.0002	0.0077	0.0015	0.0718	001
